51.434	135.93
52.332	158.76
56.047	178.15
61.668	198.26
70.576	215.09
79.692	224.39
91.312	229.38
111.55	232.81
129.34	228.5
138.73	222.94
145.52	213.38
152.44	196.89
156.73	177.64
160.07	158.63
160.41	135.93
152.19	126.81
142.9	120.33
126.91	120.4
119.41	126.9
129.35	125.31
140.76	124.27
63.149	125.92
72.589	119.03
89.669	119.17
98.193	125.8
86.796	123.94
74.937	123.02
71.082	136.66
82.341	129.16
94.152	137.64
82.082	141.91
81.834	134.96
145.11	136.97
133.64	129.65
123.08	137.92
134.16	142.3
133.67	135.55
102.62	136.82
100.01	156.92
95.891	171.01
98.163	177.61
110.97	180.22
122.44	177.33
124.3	170.84
119.62	156.5
115.9	136.87
103.4	175.02
118.41	174.91
88.641	197.96
97.567	194.2
106.04	192.44
111.29	193.53
116.25	192.39
123.71	193.86
131.39	197.5
124.36	200.36
118.46	202.42
111.45	203.64
103.08	202.37
96.282	200.38
101.26	197.49
111.34	197.85
119.93	197.35
119.93	196.66
111.45	196.82
101.28	196.91
111.41	197.52
111.56	169.73
