42.607	108.56
42.07	126.97
44.025	144.23
47.03	162.62
53.928	181.02
64.486	193.01
77.953	198.47
97.277	200.61
116.54	197.45
129.51	191.01
138.96	178.32
144.15	160.78
146.2	144.26
147.76	127.31
147.17	107.23
139.87	99.786
131.86	90.496
116.72	88.863
107.33	94.722
117.82	95.236
128.79	95.868
51.664	100.81
60.642	91.305
75.875	89.788
84.816	95.43
74.403	96.041
63.033	96.908
60.033	109.6
69.519	103.36
80.135	108.51
69.787	112.5
69.706	107.8
131.03	108.47
121.08	102.64
111.41	108.02
121.09	111.77
120.79	107
88.964	106.44
86.578	120.76
81.323	132.99
83.854	139.78
97.064	140.61
109.51	139.41
111.8	132.63
106.46	120.33
103.52	106.36
89.538	135.73
104.23	135.55
75.874	161.85
83.522	155.71
91.314	152.65
96.825	153.71
102.28	152.63
110.11	155.28
117.46	161.2
110.82	164.59
104.6	166.19
96.893	166.88
88.92	166.22
82.718	164.79
87.568	160.76
96.902	160.84
105.79	160.53
105.82	158.47
96.781	158.26
87.458	158.68
96.89	159.64
97.103	128.26
